City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Krasnoufimsk,RU,2020-11-13 08:13:45,56.61,57.77,20.23,95,100,9.17
1,Rikitea,PF,2020-11-13 08:13:45,-23.12,-134.97,74.34,81,100,18.7
2,Albany,US,2020-11-13 08:10:31,42.6,-73.97,35.01,88,20,4.7
3,Vaini,TO,2020-11-13 08:13:46,-21.2,-175.2,77.0,88,75,4.7
4,Broome,US,2020-11-13 08:13:46,42.25,-75.83,30.2,92,1,6.93
5,Tasiilaq,GL,2020-11-13 08:13:46,65.61,-37.64,21.2,57,0,4.7
6,Esso,RU,2020-11-13 08:13:46,55.93,158.7,9.86,90,83,3.02
7,Kahului,US,2020-11-13 08:10:12,20.89,-156.47,73.4,78,40,8.05
8,Mataura,NZ,2020-11-13 08:13:46,-46.19,168.86,63.0,46,0,10.0
9,Ushuaia,AR,2020-11-13 08:12:16,-54.8,-68.3,44.6,70,20,6.33
10,Victoria,HK,2020-11-13 08:11:38,22.29,114.16,78.8,36,20,10.29
11,Butaritari,KI,2020-11-13 08:13:47,3.07,172.79,81.32,73,56,12.15
12,Leningradskiy,RU,2020-11-13 08:13:47,69.38,178.42,13.1,94,100,15.37
13,Carnarvon,AU,2020-11-13 08:13:47,-24.87,113.63,75.2,53,0,14.99
14,Yaan,NG,2020-11-13 08:13:47,7.38,8.57,82.49,49,87,3.78
15,Jalu,LY,2020-11-13 08:13:47,29.03,21.55,70.65,60,99,7.34
16,Pevek,RU,2020-11-13 08:13:47,69.7,170.31,10.13,96,95,2.75
17,Ukiah,US,2020-11-13 08:13:47,39.15,-123.21,44.6,70,75,1.16
18,Yellowknife,CA,2020-11-13 08:13:47,62.46,-114.35,3.99,84,5,5.82
19,Bluff,NZ,2020-11-13 08:13:48,-46.6,168.33,63.0,46,27,10.0
20,Punta Arenas,CL,2020-11-13 08:13:48,-53.15,-70.92,42.8,70,0,19.46
21,Nouadhibou,MR,2020-11-13 08:13:48,20.93,-17.03,69.8,56,0,9.17
22,Chiang Klang,TH,2020-11-13 08:13:48,19.29,100.86,87.8,48,0,3.36
23,Saint George,US,2020-11-13 08:13:48,37.1,-113.58,42.01,51,1,2.98
24,Okakarara,NA,2020-11-13 08:13:48,-20.58,17.43,79.39,34,100,11.27
25,Atbasar,KZ,2020-11-13 08:13:49,51.8,68.33,24.58,94,100,19.06
26,Nkayi,CG,2020-11-13 08:13:49,-4.18,13.29,77.63,88,100,5.17
27,Geraldton,AU,2020-11-13 08:13:49,-28.77,114.6,75.2,64,40,17.22
28,Lorengau,PG,2020-11-13 08:13:49,-2.02,147.27,84.18,72,100,3.6
29,Severo-Kurilsk,RU,2020-11-13 08:13:49,50.68,156.12,40.59,82,95,8.01
30,Alamogordo,US,2020-11-13 08:13:49,32.9,-105.96,41.0,55,1,5.82
31,Arraial Do Cabo,BR,2020-11-13 08:13:49,-22.97,-42.03,72.32,95,100,11.5
32,Tarko-Sale,RU,2020-11-13 08:13:49,64.92,77.78,-5.01,83,77,8.16
33,Tezu,IN,2020-11-13 08:13:50,27.92,96.17,83.19,37,0,2.28
34,East London,ZA,2020-11-13 08:13:50,-33.02,27.91,77.0,65,0,16.11
35,Cape Town,ZA,2020-11-13 08:09:36,-33.93,18.42,75.0,77,20,10.29
36,Busselton,AU,2020-11-13 08:13:50,-33.65,115.33,62.01,81,64,1.99
37,Bredasdorp,ZA,2020-11-13 08:13:50,-34.53,20.04,86.0,33,0,11.41
38,Cidreira,BR,2020-11-13 08:13:50,-30.18,-50.21,66.7,95,7,2.17
39,Tanout,NE,2020-11-13 08:13:50,14.97,8.89,76.05,24,45,18.59
40,Hami,CN,2020-11-13 08:13:50,42.8,93.45,58.33,28,0,8.72
